NAME,RANK (2014),RANK (2013),CEO,WEBSITE,STREETADD,PLACE,ZIP,STATE,X,Y
Honeywell International Inc.,77,78,David M. Cote,www.honeywell.com,101 Columbia Rd.,Morris Township,7962,NJ,-74.44327954,40.79130061
"United Continental Holdings, Inc.",78,79,Jeffery A. Smisek,www.unitedcontinentalhold,233 S. Wacker Dr.,Chicago,60606,IL,-87.63604977,41.87877963
"HCA Holdings, Inc.",79,82,R. Milton Johnson,www.hcahealthcare.com,1 Park Plaza,Nashville,37203,TN,-86.81454675,36.15313591
Deere & Company,80,85,Samuel R. Allen,www.deere.com,1 John Deere Place,Moline,61265,IL,-90.42481471,41.47678943
"Delta Air Lines, Inc.",81,83,Richard H. Anderson,www.delta.com,1030 Delta Blvd.,Atlanta,30354,GA,-84.4226722,33.6570825
Oracle Corporation,82,80,Lawrence J. Ellison,www.oracle.com,500 Oracle Pkwy.,Redwood City,94065,CA,-122.2623163,37.53063855
Morgan Stanley,83,96,James P. Gorman,www.morganstanley.com,1585 Broadway,New York,10036,NY,-73.98541551,40.76005838
Hess Corporation,84,75,John B. Hess,www.hess.com,1185 Ave. of the Americas,New York,10036,NY,-73.98216231,40.75756151
"Twenty-First Century Fox, Inc.",85,91,K. Rupert Murdoch,www.21cf.com,1211 Ave. of the Americas,New York,10036,NY,-73.98154652,40.75841292
E.I. du Pont de Nemours and Company,86,72,Ellen J. Kullman,www.dupont.com,1007 Market St.,Wilmington,19898,DE,-75.54773547,39.74626501
Sears Holdings Corporation,87,71,Edward S. Lampert,www.searsholdings.com,3333 Beverly Rd.,Hoffman Estates,60179,IL,-88.21772383,42.07748425
New York Life Insurance Company,88,89,Theodore A. Mathas,www.newyorklife.com,51 Madison Ave.,New York,10010,NY,-73.9860562,40.7431207
"Mondelez International, Inc.",89,88,Irene B. Rosenfeld,www.mondelezinternational,3 Pkwy. N.,Deerfield,60015,IL,-87.87955062,42.16334343
American Express Company,90,90,Kenneth I. Chenault,www.americanexpress.com,200 Vesey St.,New York,10285,NY,-74.01480393,40.71365522
Nationwide Mutual Insurance Co.,91,100,Stephen S. Rasmussen,www.nationwide.com,1 Nationwide Blvd.,Columbus,43215,OH,-83.00239264,39.9685334
The Allstate Corporation,92,92,Thomas J. Wilson,www.allstate.com,2775 Sanders Rd.,Northbrook,60062,IL,-87.87108534,42.10098149
"Tyson Foods, Inc.",93,93,Donnie Smith,www.tysonfoods.com,2200 Don Tyson Pkwy.,Springdale,72762,AR,-94.15458886,36.15401726
Supervalu Inc.,94,86,Sam K. Duncan,www.supervalu.com,7075 Flying Cloud Dr.,Eden Prairie,55344,MN,-93.41099444,44.87476984
TIAA-CREF,95,97,Roger W. Ferguson Jr.,www.tiaa-cref.org,730 Third Ave.,New York,10017,NY,-73.97317714,40.75308892
Massachusetts Mutual Life Insurance Company,96,94,Roger W. Crandall,www.massmutual.com,1295 State St.,Springfield,1111,MA,-72.5475494,42.11689179
CIGNA Corporation,97,103,David M. Cordani,www.cigna.com,900 Cottage Grove Rd.,Bloomfield,6002,CT,-72.74400821,41.81292552
DIRECTV,98,102,Michael D. White,www.directv.com,2260 E. Imperial Hwy.,El Segundo,90245,CA,-118.3841153,33.93027288
General Dynamics Corporation,99,98,Phebe N. Novakovic,www.generaldynamics.com,2941 Fairview Park Dr.,Falls Church,22042,VA,-77.21488433,38.86939485
Philip Morris International Inc.,100,99,Andr?? Calantzopoulos,www.pmi.com,120 Park Ave.,New York,10017,NY,-73.97835123,40.75172659
3M Company,101,101,Inge G. Thulin,www.3m.com,3M Center,St. Paul,55144,MN,-92.99224186,44.95071822
Time Warner Inc.,102,105,Jeffrey L. Bewkes,www.timewarner.com,1 Time Warner Center,New York,10019,NY,-73.98304754,40.76858919
Halliburton Company,103,106,David J. Lesar,www.halliburton.com,3000 N. Sam Houston Pkwy E.,Houston,77032,TX,-95.33991244,29.93627439
"Publix Super Markets, Inc.",104,108,William E. Crenshaw,www.publix.com,3300 Publix Corporate Pkwy.,Lakeland,33811,FL,-82.01343727,28.00447854
International Paper Company,105,107,John V. Faraci,www.internationalpaper.co,6400 Poplar Ave.,Memphis,38197,TN,-89.8501499,35.1002106
McDonald's Corporation,106,111,Donald Thompson,www.mcdonalds.com,1 McDonald's Plaza,Oak Brook,60523,IL,-87.94546886,41.84707465
"Macy's, Inc.",107,109,Terry J. Lundgren,www.macysinc.com,7 W. Seventh St.,Cincinnati,45202,OH,-84.51412798,39.10325961
"The TJX Companies, Inc.",108,115,Carol M. Meyrowitz,www.tjx.com,770 Cochituate Rd.,Framingham,1701,MA,-71.38249838,42.31048064
Fluor Corporation,109,110,David T. Seaton,www.fluor.com,6700 Las Colinas Blvd.,Irving,75039,TX,-96.95154957,32.90118101
Northwestern Mutual Life Insurance Company,110,114,John E. Schlifske,www.northwesternmutual.co,720 E. Wisconsin Ave.,Milwaukee,53202,WI,-87.90208735,43.03923089
Tech Data Corporation,111,119,Robert M. Dutkowsky,www.techdata.com,5350 Tech Data Dr.,Clearwater,33760,FL,-82.70783019,27.91712741
American Airlines Group Inc.,112,121,W. Douglas Parker,www.aa.com,4333 Amon Carter Blvd.,Fort Worth,76155,TX,-97.04978113,32.82819712
"The Hartford Financial Services Group, Inc.",113,112,Liam E. McGee,www.thehartford.com,1 Hartford Plaza,Hartford,6155,CT,-72.68695011,41.77032941
"The Travelers Companies, Inc.",114,116,Jay S. Fishman,www.travelers.com,485 Lexington Ave.,New York,10017,NY,-73.97367297,40.75412221
"Nike, Inc.",115,126,Mark G. Parker,www.nikeinc.com,1 Bowerman Dr.,Beaverton,97005,OR,-122.8280893,45.50772772
Occidental Petroleum Corporation,116,125,Stephen I. Chazen,www.oxy.com,10889 Wilshire Blvd.,Los Angeles,90024,CA,-118.4431816,34.05901325
"Avnet, Inc.",117,117,Richard Hamada,www.avnet.com,2211 S. 47th St.,Phoenix,85034,AZ,-111.9800999,33.42736133
Rite Aid Corporation,118,113,John T. Standley,www.riteaid.com,30 Hunter Lane,Camp Hill,17011,PA,-76.91382519,40.25655213
Exelon Corporation,119,129,Christopher M. Crane,www.exeloncorp.com,10 S. Dearborn St.,Chicago,60603,IL,-87.62959969,41.88161625
Qualcomm Incorporated,120,149,Steven M. Mollenkopf,www.qualcomm.com,5775 Morehouse Dr.,San Diego,92121,CA,-117.1958811,32.89603611
Emerson Electric Co.,121,123,David N. Farr,www.emerson.com,8000 W. Florissant Ave.,St. Louis,63136,MO,-90.27772325,38.72880459
Northrop Grumman Corporation,122,120,Wesley G. Bush,www.northropgrumman.com,2980 Fairview Park Dr.,Falls Church,22042,VA,-77.21562495,38.86761727
Duke Energy Corporation,123,145,Lynn J. Good,www.duke-energy.com,550 S. Tryon St.,Charlotte,28202,NC,-80.84867244,35.22403148
Capital One Financial Corporation,124,127,Richard D. Fairbank,www.capitalone.com,1680 Capital One Dr.,McLean,22102,VA,-77.2122714,38.92575107
Aflac Incorporated,125,118,Daniel P. Amos,www.aflac.com,1932 Wynnton Rd.,Columbus,31999,GA,-84.96424538,32.46728085
Raytheon Company,126,124,Thomas A. Kennedy,www.raytheon.com,870 Winter St.,Waltham,2451,MA,-71.28239963,42.40590111
"Staples, Inc.",127,122,Ronald L. Sargent,www.staples.com,500 Staples Dr.,Framingham,1702,MA,-71.48938627,42.29174096
EMC Corporation,128,133,Joseph M. Tucci,www.emc.com,176 South St.,Hopkinton,1748,MA,-71.54436147,42.19301612
Eli Lilly and Company,129,130,John C. Lechleiter,www.lilly.com,Lilly Corporate Center,Indianapolis,46285,IN,-86.15418387,39.75520216
Alcoa Inc.,130,128,Klaus Kleinfeld,www.alcoa.com,390 Park Ave.,New York,10022,NY,-73.97291425,40.75965428
"National Oilwell Varco, Inc.",131,144,Clay C. Williams,www.nov.com,7909 Parkwood Circle Dr.,Houston,77036,TX,-95.55458669,29.69161587
Baker Hughes Incorporated,132,135,Martin S. Craighead,www.bakerhughes.com,2929 Allen Pkwy.,Houston,77019,TX,-95.39746727,29.76075519
"US Foods, Inc.",133,0,John A. Lederer,www.usfoods.com,9399 W. Higgins Rd.,Rosemont,60018,IL,-87.85787741,41.98865481
Time Warner Cable Inc.,134,134,Robert D. Marcus,www.twc.com,60 Columbus Circle,New York,10023,NY,-73.98270914,40.76904726
Union Pacific Corporation,135,138,John J. Koraleski,www.up.com,1400 Douglas St.,Omaha,68179,NE,-95.93517774,41.25917589
Abbott Laboratories,136,70,Miles D. White,www.abbott.com,100 Abbott Park Rd.,Abbott Park,60064,IL,-87.85742721,42.32715262
Xerox Corporation,137,131,Ursula M. Burns,www.xerox.com,45 Glover Ave.,Norwalk,6850,CT,-73.42820693,41.14526075
"Arrow Electronics, Inc",138,141,Michael J. Long,www.arrow.com,7459 S. Lima St.,Englewood,80112,CO,-104.8577745,39.58146995
Kimberly-Clark Corporation,139,136,Thomas J. Falk,www.kimberly-clark.com,351 Phelps Dr.,Irving,75038,TX,-96.95055531,32.87005465
U.S. Bancorp,140,132,Richard K. Davis,www.usbank.com,800 Nicollet Mall,Minneapolis,55402,MN,-93.27403951,44.9753828
United Services Automobile Association,141,139,Josue Robles Jr.,www.usaa.com,9800 Fredericksburg Rd.,San Antonio,78288,TX,-98.57510867,29.53717306
Freeport-McMoRan Copper & Gold Inc.,142,156,Richard C. Adkerson,www.fcx.com,333 N. Central Ave.,Phoenix,85004,AZ,-112.073312,33.45167638
Icahn Enterprises L.P.,143,178,Keith Cozza,www.ielp.com,767 Fifth Ave.,New York,10153,NY,-73.97220053,40.76379622
ManpowerGroup Inc.,144,140,Jonas Prising,www.manpowergroup.com,100 Manpower Place,Milwaukee,53212,WI,-87.91315006,43.04906202
HollyFrontier Corporation,145,143,Michael C. Jennings,www.hollyfrontier.com,2828 N. Harwood,Dallas,75201,TX,-96.80818273,32.79448366
Global Partners LP,146,157,Eric Slifka,www.globalp.com,800 South St.,Waltham,2453,MA,-71.26304554,42.35497894
The Goodyear Tire & Rubber Company,147,137,Richard J. Kramer,www.goodyear.com,200 Innovation Way,Akron,44316,OH,-81.47587303,41.05839554
PBF Energy Inc.,148,142,Thomas J. Nimbley,"www,pbfenergy.com",1 Sylvan Way,Parsippany,7054,NJ,-74.45559873,40.8486238
Danaher Corporation,149,152,H. Lawrence Culp Jr.,www.danaher.com,2200 Pennsylvania Ave. N.W.,Washington,20037,DC,-77.04925147,38.90199247
Nucor Corporation,150,146,John J. Ferriola,www.nucor.com,1915 Rexford Rd.,Charlotte,28211,NC,-80.83479507,35.1588494
Kohl's Corporation,151,148,Kevin Mansell,www.kohlscorporation.com,N56 W17000 Ridgewood Dr.,Menomonee Falls,53051,WI,-88.12303636,43.11937362
AbbVie Inc.,152,0,Richard A. Gonzalez,www.abbvie.com,1 N. Waukegan Rd.,North Chicago,60064,IL,-87.87853953,42.27973615
Whirlpool Corporation,153,154,Jeff M. Fettig,www.whirlpoolcorp.com,2000 North M-63,Benton Harbor,49022,MI,-86.44194027,42.15076325
Amgen Inc.,154,162,Robert A. Bradway,www.amgen.com,1 Amgen Center Dr.,Thousand Oaks,91320,CA,-118.9199601,34.19198019
"Jabil Circuit, Inc.",155,163,Mark T. Mondello,www.jabil.com,10560 Dr. Martin Luther King Jr.,St. Petersburg,33716,FL,-82.64714097,27.86845028
"Kraft Foods Group, Inc.",156,151,W. Anthony Vernon,www.kraftfoodsgroup.com,3 Lakes Dr.,Northfield,60093,IL,-87.79735298,42.10856391
The Progressive Corporation,157,166,Glenn M. Renwick,www.progressive.com,6300 Wilson Mills Rd.,Mayfield Village,44143,OH,-81.4512836,41.53515406
"CenturyLink, Inc.",158,150,Glen F. Post III,www.centurylink.com,100 CenturyLink Dr.,Monroe,71203,LA,-92.06922959,32.5899873
"General Mills, Inc.",159,169,Kendall J. Powell,www.generalmills.com,1 General Mills Blvd.,Minneapolis,55426,MN,-93.39558172,44.97699731
Southwest Airlines Co.,160,164,Gary C. Kelly,www.southwest.com,2702 Love Field Dr.,Dallas,75235,TX,-96.86300498,32.84605906
"Altria Group, Inc.",161,159,Martin J. Barrington,www.altria.com,6601 W. Broad St.,Richmond,23230,VA,-77.51775632,37.60262305
"AutoNation, Inc.",162,177,Michael J. Jackson,www.autonation.com,200 S.W. First Ave.,Fort Lauderdale,33301,FL,-80.1442778,26.12015211
Chesapeake Energy Corporation,163,223,Robert D. Lawler,www.chk.com,6100 N. Western Ave.,Oklahoma City,73118,OK,-97.52865159,35.53470879
Dollar General Corporation,164,175,Richard W. Dreiling,www.dollargeneral.com,100 Mission Ridge,Goodlettsville,37072,TN,-86.69930229,36.30908378
TRW Automotive Holdings Corp.,165,173,John C. Plant,www.trw.com,12001 Tech Center Dr.,Livonia,48150,MI,-83.34185803,42.37253687
United States Steel Corporation,166,147,Mario Longhi,www.ussteel.com,600 Grant St.,Pittsburgh,15219,PA,-79.99485065,40.44135695
Colgate-Palmolive Company,167,165,Ian M. Cook,www.colgatepalmolive.com,300 Park Ave.,New York,10022,NY,-73.97472779,40.7570332
Cummins Inc.,168,160,N. Thomas Linebarger,www.cummins.com,500 Jackson St.,Columbus,47201,IN,-85.92303591,39.20356979
PACCAR Inc,169,168,Ronald E. Armstrong,www.paccar.com,777 106th Ave. N.E.,Bellevue,98004,WA,-122.1995572,47.61668834
The Southern Company,170,171,Thomas A. Fanning,www.southerncompany.com,30 Ivan Allen Jr. Blvd. N.W.,Atlanta,30308,GA,-84.38825686,33.76432123
Illinois Tool Works Inc.,171,155,E. Scott Santi,www.itw.com,3600 W. Lake Ave.,Glenview,60026,IL,-87.84706335,42.09008158
"The PNC Financial Services Group, Inc.",172,170,William S. Demchak,www.pnc.com,249 Fifth Ave.,Pittsburgh,15222,PA,-80.00048327,40.4411926
"Medtronic, Inc.",173,172,Omar Ishrak,www.medtronic.com,710 Medtronic Pkwy.,Minneapolis,55432,MN,-93.251567,45.06934881
The AES Corporation,174,153,Andr??s R. Gluski,www.aes.com,4300 Wilson Blvd.,Arlington,22203,VA,-77.11269756,38.87978294
Murphy USA Inc.,175,0,R. Andrew Clyde,corporate.murphyusa.com,200 Peach St.,El Dorado,71730,AR,-92.66212382,33.21449384
Bristol-Myers Squibb Company,176,158,Lamberto Andreotti,www.bms.com,345 Park Ave.,New York,10154,NY,-73.97256893,40.75807896
Lear Corporation,177,187,Matthew J. Simoncini,www.lear.com,21557 Telegraph Rd.,Southfield,48033,MI,-83.27919806,42.45262308
"The Gap, Inc.",178,179,Glenn K. Murphy,www.gapinc.com,2 Folsom St.,San Francisco,94105,CA,-122.3910193,37.79069487
Apache Corporation,179,167,G. Steven Farris,www.apachecorp.com,2000 Post Oak Blvd.,Houston,77056,TX,-95.46406111,29.74455815
eBay Inc.,180,196,John J. Donahoe,www.ebayinc.com,2065 Hamilton Ave.,San Jose,95125,CA,-121.92755,37.29546204
The Bank of New York Mellon Corporation,181,180,Gerald L. Hassell,www.bnymellon.com,1 Wall St.,New York,10286,NY,-74.01163396,40.70749487
CBS Corporation,182,186,Leslie Moonves,www.cbscorporation.com,51 W. 52nd St.,New York,10019,NY,-73.97873957,40.76114896
PG&E Corporation,183,183,Anthony F. Earley Jr.,www.pge.com,77 Beale St.,San Francisco,94105,CA,-122.3964585,37.79213664
"ConAgra Foods, Inc.",184,209,Gary M. Rodkin,www.conagrafoods.com,1 ConAgra Dr.,Omaha,68102,NE,-95.92294464,41.25368705
Computer Sciences Corporation,185,176,J. Michael Lawrie,www.csc.com,3170 Fairview Park Dr.,Falls Church,22042,VA,-77.21427383,38.86041964
"American Electric Power Company, Inc.",186,185,Nicholas K. Akins,www.aep.com,1 Riverside Plaza,Columbus,43215,OH,-83.0053221,39.96525721
Western Digital Corporation,187,222,Stephen D. Milligan,www.westerndigital.com,3355 Michelson Dr.,Irvine,92612,CA,-117.8411889,33.67320727
Marathon Oil Corporation,188,174,Lee M. Tillman,www.marathonoil.com,5555 San Felipe St.,Houston,77056,TX,-95.47206932,29.7497024
Baxter International Inc.,189,193,Robert L. Parkinson Jr.,www.baxter.com,1 Baxter Pkwy.,Deerfield,60015,IL,-87.8793258,42.15933946
"PPG Industries, Inc.",190,182,Charles E. Bunch,www.ppg.com,1 PPG Place,Pittsburgh,15272,PA,-80.00368921,40.43995955
"NextEra Energy, Inc.",191,190,James L. Robo,www.nexteraenergy.com,700 Universe Blvd.,Juno Beach,33408,FL,-80.05985055,26.85979756
"Community Health Systems, Inc.",192,184,Wayne T. Smith,www.chs.net,4000 Meridian Blvd.,Franklin,37067,TN,-86.81060374,35.95176401
Loews Corporation,193,188,James S. Tisch,www.loews.com,667 Madison Ave.,New York,10065,NY,-73.97029015,40.76452308
"Penske Automotive Group, Inc.",194,203,Roger S. Penske,www.penskeautomotive.com,2555 Telegraph Rd.,Bloomfield Hills,48302,MI,-83.28795479,42.60254104
FirstEnergy Corp.,195,181,Anthony J. Alexander,www.firstenergycorp.com,76 S. Main St.,Akron,44308,OH,-81.51856736,41.08342953
Starbucks Corporation,196,208,Howard D. Schultz,www.starbucks.com,2401 Utah Ave. S.,Seattle,98134,WA,-122.3358951,47.5810045
Monsanto Company,197,206,Hugh Grant,www.monsanto.com,800 N. Lindbergh Blvd.,St. Louis,63167,MO,-90.40548637,38.64046294
